PLAY_ID,Play Name,Description,Play Type,Pyramid Level,Customer Lifecycle Stage,Free v. Paid,Tier (with CS Distintions),Receiving Persona,Initiating Role,Executing Role,Status,Current Document Location,,
PLAY-011,"Domo Everywhere 
Premium
Teaching assistance with your custom DE edit and extend use case and project.","Billed, Hours-Based Consulting Offering: builds upon the Essentials service by focusing on more advanced Domo Everywhere use cases where the embedded experience includes editing and extending content. This includes user interactivity, advanced embedding configuration, dynamic personalization, and integration of filters or writeback features. Customers receive tailored instruction on how to implement flexible, scalable, and secure embedded experiences that support end-user engagement and deeper external collaboration.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-012,"Domo Everywhere Essentials
Teaching assistance with your DE view custom use case and project.","Billed, Hours-Based Consulting Offering: provides foundational enablement for customers launching their first Domo Everywhere experience using a ""view-only"" configuration. This service focuses on teaching customers how to embed pre-configured dashboards securely and effectively into external portals or applications, enabling external stakeholders (e.g., partners, customers) to view trusted insights. Customers are guided through setup, security permissions, best practices for embedded layout, and testing to ensure a seamless, user-friendly experience.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-013,Domo instance Optimization,"Billed, Hours-Based Consulting Offering: provides a health check and performance audit of your Domo environment. It includes evaluation of dataflows, dataset duplication, memory usage, dashboard performance, connector health, and governance controls. The result is a set of prioritized recommendations to streamline performance, improve manageability, and extend platform longevity.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP",Admin,"Customer Success Manager, Professional Services",Implementation Consulting or Partner,Launched to Field,,,
PLAY-014,Domo Pipeline Optimization,"Billed, Hours-Based Consulting Offering: ocuses on streamlining your data ingestion and transformation processes. It includes auditing ETL logic, identifying inefficiencies in recursive or chained dataflows, removing redundant datasets, and implementing best practices for scheduling and resource usage. The result is faster, more reliable data pipelines that scale with business growth.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Professional Services",Implementation Consulting or Partner,Launched to Field,,,
PLAY-015,"Finance Advanced Data Product
Start with campaign performance and upgrade to campaign planning.","Billed , Complete Data Product with Implementation Setup Hours Offering: This comprehensive financial solution combines advanced analytics across revenue, profitability, expenses, and cash flow. It enables organizations to analyze financial performance by product, region, customer, or sales channel and supports cost optimization through detailed expense tracking. Accounts receivable and payable modules help improve working capital management, while real-time cash flow monitoring enhances liquidity planning. Additional features include scenario modeling, compliance monitoring, internal controls, and capital investment analysis, making this product ideal for finance leaders driving both operational efficiency and strategic growth.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-016,"Finance Essentials Data Product
Get your finance team started with critical insights and reporting","Billed, Complete Data Product with Implementation Setup Hours Offering: This solution provides foundational financial reporting tools, including profit and loss statements, balance sheets, and executive dashboards. It enables finance teams to quickly evaluate the financial health of the organization, monitor key performance indicators, and deliver timely, accurate insights to business leaders for strategic decision-making.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-017,"Governance & Adoption - Governance adoption frameworks, methodologies, and security best practices.","Billed, Hours-Based Consulting Offering: delivers a structured approach to data governance and user adoption, combining strategic frameworks with tactical execution. It includes persona development, access control, enablement strategy, KPI alignment, and adoption tracking. The goal is to drive consistent usage of Domo across departments while ensuring data is secure, trustworthy, and used responsibly.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP",Admin,"Customer Success Manager, Professional Services",Implementation Consulting or Partner,Launched to Field,,,
PLAY-018,"Marketing Essentials Data Product
Start with campaign performance and upgrade to campaign planning.","Billed, Complete Data Product with Implementation Setup Hours Offering: This product delivers core marketing insights focused on campaign performance metrics such as impressions, click-through rates, conversions, and return on investment. It supports marketing teams in evaluating the effectiveness of their campaigns and identifying opportunities to optimize spend and improve outcomes, while also laying the groundwork for more advanced campaign planning.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-019,"Revenue Operations Data Product
Rapidly time to value with insights for revenue & operations metrics for restaurant","Billable, Complete Data Product with Implementation Setup Hours Offering: Tailored for restaurant operators, this product provides essential metrics including average check size, customer count, food cost percentage, labor productivity, menu item performance, and table turnover rates. It distinguishes between online and dine-in order trends and offers insights into daypart performance. This enables restaurant leaders to optimize labor scheduling, menu engineering, and operational strategy to enhance both profitability and customer experience.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-020,"Revenue Operations Data Product
Rapidly time to value with insights for revenue & operations metrics for retail","Billed, Complete Data Product with Implementation Setup Hours Offering: Designed specifically for retailers, this data product delivers fast insights into key operational metrics such as same-store sales, year-over-year growth, inventory turnover, shrinkage, foot traffic conversion, basket size, and category performance. It empowers retail leaders to make data-informed decisions on merchandising, promotions, staffing, and inventory planning, ultimately helping to drive profitability and operational efficiency across the store network.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-021,"Sales & Forecasting Data Product
Rapidly time to value with insights for your sales and accurate forecasting.","Billed, Complete Data Product with Consulting Implementation Setup Hours Offering: By integrating with Salesforce, this product provides real-time visibility into sales pipelines, opportunities, and closed deals. It incorporates AI and machine learning models to generate accurate sales forecasts, allowing organizations to better allocate resources, reduce forecasting errors, and improve revenue predictability.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-022,Use Case Sprints - Rapidly develop and validate moderate incremental use cases to accelerate solution deployment and adoption.,"Billed, Hours-Based Consulting Offering: are designed to solve specific business challenges quickly by rapidly plan, document value and ROI, prototype, and validating solutions in Domo over short, focused periods. These engagements begin with problem scoping and data discovery, followed by rapid prototyping. They help build momentum and showcase the value of Domo through targeted, measurable wins.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-023,Cancellation Request,"Upon discovering the csutomer is saying they may cancel, or if key cancellation risks are surfaced via the risk assessment report, review what elements seem to be most related and contact the customer to discover which options will resonate best whether it's related to commercial factors vs value factors and build an approach to mitigate risk.",Reactive Plays,People Plays,Adopt,Free,"Auto CSM, Corporate, Enterprise, ECMP",Business Leader,"Customer Success Manager, Account Executive","Customer Success Manager, Account Executive",Idea,,,
PLAY-024,Client Mingles (Connections etc),"To help with low adoption, low engagement or low CSAT, Invite customers to Events designed for customer to customer connections",Reactive Plays,People Plays,Adopt,Free,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst","Customer Success Manager, Account Executive","Customer Success Manager, Account Executive, Marketing",Launched to Field,,,
PLAY-025,Client Visit (CS Leader),Client onsite or visit with CS Leadership,Reactive Plays,People Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin",Customer Success Manager,Customer Success Manager,Launched to Field,,,
PLAY-026,Client Visit (CSM),"Travel to client's location, usually HQ, and observe client's day to day operations, understand their challenges and gain insights into how the client uses their product or service. Example: Onsite education training.",Reactive Plays,People Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst",Customer Success Manager,Customer Success Manager,Launched to Field,,,
PLAY-027,Client Visit (Exec Leader),"Exec client visit (Any exec, route requests through Shawn Stinson)",Reactive Plays,People Plays,Adopt,Free,"Enterprise, ECMP",Business Leader,Customer Success Manager,ECMP,Launched to Field,,,
PLAY-028,CS Leadership Contact,Meeting (in person if local or via Zoom) with CS Leadership personnel,Reactive Plays,People Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin",Customer Success Manager,Customer Success Manager,Launched to Field,,,
PLAY-029,Current User Inactivity,"Upon learning of a decline in usage of Domo, determine via the risk report or direct discovery which persona type is most at fault and work to determine if it's a matter of low value perception or low understanding of the tool and depending on which work to build more meaningful use cases or connect users with education options.",Reactive Plays,People Plays,Adopt,Free,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Analyst",Customer Success Manager,Customer Success Manager,Dev,,,
PLAY-030,Domopalooza Compensated Invitation / Exclusive Participation,"To help with low adoption, low engagement or low CSAT, Customers can take advantage of pass discounts and enhanced experiences at Domopalooza (Exec experience, CAB, etc.)",Reactive Plays,People Plays,Adopt,Paid or Free,"Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst","Customer Success Manager, Account Executive","Customer Success Manager, Account Executive, Marketing",Launched to Field,,,
PLAY-031,Exec Leadership Contact,"Exec reach out or meeting (Any exec, route requests through Shawn Stinson). Set up Internal Sync after email confirmation from Shawn and Manager. ",Reactive Plays,People Plays,Adopt,Free,ECMP,Business Leader,"Customer Success Manager, Account Executive",ECMP,Launched to Field,,,
PLAY-032,Executive Sponsorship Loss,"Upon learning the imminent or recent lost of an expecutive sponsor, hold a discovery session with the remaining key stakeholder(s) to devise a plan to target and engage a new replacement sponsor. ",Reactive Plays,People Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin",Customer Success Manager,"Customer Success Manager, Account Executive",Complete (Not Launched),https://domo.dam.aprimo.com/dam/contentitems/0f11b11c53ed47069f05b20201186d1d,,
PLAY-033,High Profile Event,"To help with low engagement or low CSAT High profile events are great for engaging executives at strategic accounts (US Open, etc)",Reactive Plays,People Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst","Customer Success Manager, Account Executive","Customer Success Manager, Account Executive, ECMP",Launched to Field,,,
PLAY-034,Client Visit (Product Exec),"By special arangment, an executive from our product organzation can visit a client who may be a candiate for a lighthouse example use case application of an important Domo feature.",Reactive Plays,Product Plays,Adopt,Free,"Enterprise, ECMP","Admin, Technologist",Customer Success Manager,Product Team,Launched to Field,,,
PLAY-035,Domo Day Onsite,"Domo Days are designed to share, discover and inspire progress by the customer. Topics may include an ""Art of the Possible"" conversation with stakeholders, deep dives on the Domo platform, customized training or working strategy or roadmapping sessions with customers who are looking to gain additional value and adoption within their organizations.​ These can be onsite at HQ or clients HQ and or virtual.",Reactive Plays,Product Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst",Customer Success Manager,"Customer Success Manager, Account Executive, Education, ACE, Adoption Consulting",Launched to Field,https://domo.dam.aprimo.com/dam/contentitems/4230b02b08c44536a74cb20201185bae,,
PLAY-036,Office Hours Session(s) - CSM or Adoption Consultant,"Non-mandatory meeting times, providing an opportunity to connect with colleagues, answering questions, receiving feedback. These meetings strengthen communication, fostering trust and promotes collaboration among members. Example: If you need help justifying the CPI% to a client, understand different types of account use cases, training opportunities, how to use training hours for client's Education package, Renewal/Downsell Conversations.",Reactive Plays,Product Plays,Adopt,Free,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist, Analyst",Customer Success Manager,"Customer Success Manager, Adoption Consulting",Dev,,,
PLAY-037,Product Lead Workshop (onsite),"Onsite engagements can foster deep connections with our customers. A product lead onsite can include beta feature training, demos, roadmap discussions etc. (Could be included as part of a Domo Day)",Reactive Plays,Product Plays,Adopt,Paid,"Enterprise, ECMP","Admin, Technologist, Analyst",Customer Success Manager,"Engagement Engineers, Product team",Idea,,,
PLAY-038,Product Release Notes/Training,"Help the customer find access to product release notes as now features are announced, and assess whether they would like assistance understanding the functionality or appication of these features for their particula use cases. Connect them with education offerings if needed.",Reactive Plays,Product Plays,Adopt,Free,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist, Analyst",Customer Success Manager,Education,Idea,,,
PLAY-039,Services Extension or Comp,"Extending services for a client that are due to expire soon can bring significant value to both the client and Domo. This can lead to increased customer retention, loyalty and repeat business. Example: Left over consulting hours that can be reapplied but due to expire soon.",Reactive Plays,Product Plays,Adopt,Paid or Free,"Corporate, Enterprise, ECMP","Business Leader, Admin",Account Executive,Account Executive,Launched to Field,,,
PLAY-040,Domo Best Practices Demo/Deep Dive Enablement (ACE),"ACE Subject Matter Experts who can add significant value by ensuring the accuracy and also provide expert insights and recommendations to customers who don't need help to build, but just education to execute on roadmaps, architecture, governance, use cases and migrations",Reactive Plays,Product Plays,Adopt,Paid,"Enterprise, ECMP","Admin, Technologist, Analyst",Customer Success Manager,ACE TEAM,Launched to Field,https://domo.dam.aprimo.com/dam/contentitems/531c4761424f4406a453b29d0134e382,,
PLAY-041,Customer Stories,"A repository of customer quotes and stories, use if your customer asks for a relevant use case to their industry or company size",Reactive Plays,Use Case Plays,Adopt,Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst","Customer Success Manager, Account Executive","Customer Success Manager, Account Executive",Launched to Field,https://domo.dam.aprimo.com/dam/search?q=Customer%20Stories,,
PLAY-042,Public Webinar,"To mitigate low adoption and to support consumption growth, invite uers to publiclly held Domo discussions and/or trainings",Reactive Plays,"Use Case Plays, Product Plays",Adopt,Free,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst","Customer Success Manager, Account Executive",Marketing,Launched to Field,,,
PLAY-043,Customer Financial Challenge,"Upon hearing news that the customer may be undergoing bankrupty, downsizing, business limiting acquistions, or other potential budget pressures, reach out to the key business stakeholders to determine what path Domo can walk with them to secure some retained value so they can justify retention of the account even if downselling. ",Reactive Plays,People Plays,"Adopt, Expand",Free,"Auto CSM, Corporate, Enterprise, ECMP",Business Leader,"Customer Success Manager, Account Executive",Account Executive,Idea,,,
PLAY-044,No Contact,"Customer has stopped responding to our contacts. No response to emails, texts, calls. We need to reestablish a willing communcation between us and them in order to continue forward.",Reactive Plays,People Plays,"Adopt, Expand",Free,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Technologist, Analyst","Account Executive, Customer Success Manager","Account Executive, Customer Success Manager",Idea,,,
PLAY-045, AI Agents & Readiness - Seamless AI integration with targeted assessments and strategies.,"Non-Billed, Hours-Based Consulting Offering: supports organizations in preparing for and deploying AI use cases in Domo. This includes evaluating your current data landscape, identifying AI-ready use cases, recommending ML tools or integrations (such as Domo’s AI Service Layer or 3rd party connectors), and developing governance around AI usage. The goal is to enable intelligent automation, predictive insights, and human-AI collaboration through a controlled, value-driven approach.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Admin, Technologist",Customer Success Manager,Adoption Consulting,Launched to Field,,,
PLAY-046, New Product Sprints - Launch and iterate on new products swiftly with focused sprint methodologies.,"Non-Billed, Hours-Based Consulting Offering: enable teams to rapidly plan, document value and ROI, and prototype use cases with new features within Domo using sprint methodologies. Each sprint includes ideation, solution design, rapid development, user feedback, and iteration. This accelerates time-to-value for new dashboards, apps, and decision tools while encouraging a culture of innovation and continuous delivery.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Admin, Analyst",Customer Success Manager,Adoption Consulting,Launched to Field,,,
PLAY-047, Tech Migration - Micro proof of concept in migrating alternative tech use case to Domo.,"Non-Billed, Hours-Based Consulting Offering: offers low-risk micro proof-of-concept engagements that test the feasibility of migrating specific reports or dashboards from legacy platforms (e.g., Tableau, Power BI, Excel) into Domo. The service evaluates data availability, visual alignment, and performance comparisons, while documenting architecture improvements and future-state efficiencies to justify broader migration plans.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP",Technologist,Customer Success Manager,Adoption Consulting,Launched to Field,,,
PLAY-048,"Advanced Marketing Data Product
Start with campaign performance and upgrade to campaign planning.","Non-Billed, Complete Data Product with Implementation Setup Hours Offering: This end-to-end marketing operations suite streamlines campaign planning, flighting, and optimization to maximize media impact and return on investment. It ensures clean data capture with structured taxonomy and UTM tracking, accelerates campaign approvals through automated brief intake workflows, and centralizes vendor and insertion order management to reduce risk and ensure compliance. The attribution module links marketing investments to measurable business outcomes, enabling marketing teams to prove and improve the value of their efforts.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst",Customer Success Manager,Adoption Consulting,Launched to Field,,,
PLAY-049,"Advanced Roadmaps - Drive growth with detailed, strategic roadmaps aligned to your unique business goals.","Non-Billed, Hours-Based Consulting Offering: provide a structured, strategic planning engagement that aligns Domo capabilities with your unique business goals. This service includes stakeholder alignment sessions, prioritization of initiatives, and a detailed roadmap covering quick wins and long-term goals. It ensures data, governance, and solution development are aligned with enterprise objectives, helping clients move from ad hoc reporting to scalable, value-driven insights across the organization.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Adoption Consulting,Launched to Field,,,
PLAY-050,"Configuration Architecture -Setting up your Domo architecture for innovation, manageability, and governance.","Non-Billed, Hours-Based Consulting Offering: focuses on building a scalable, sustainable Domo architecture from the ground up or enhancing your current setup. It includes best practices for dataset design, dataflows, user roles, PDP (Personalized Data Permissions), and page structure, all tailored to your organizational structure and data needs. This ensures the platform is optimized for governance, flexibility, performance, and ease of management.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Technologist, Admin",Customer Success Manager,Adoption Consulting,Launched to Field,,,
PLAY-051,"Custom Scoped Projects - Consulting
Implement a custom scoped projects for new development.","Non-Billed, Hours-Based Consulting Offering: are tailored, non-billed consulting engagements focused on delivering high-impact solutions that align to strategic business goals or adoption expansion. These projects are scoped individually based on customer needs and may include custom application development, enterprise use case execution, integrations with external systems, or solutions designed to increase usage across departments. Each engagement is purpose-built to maximize ROI and drive account growth through innovation and hands-on delivery.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Adoption Consulting,Launched to Field,,,
PLAY-052,Domo Architecture Assessments,"Non-Billed, Hours-Based Consulting Offering: deliver a comprehensive evaluation of your entire Domo implementation, including data modeling, governance structures, user roles, content hierarchy, and security protocols. The assessment benchmarks your environment against Domo best practices and enterprise standards, providing a roadmap for remediation, optimization, and future readiness",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Account Executive, Professional Services, Partner",Adoption Consulting,Launched to Field,,,
PLAY-053,"Domo Everywhere 
Premium
Teaching assistance with your custom DE edit and extend use case and project.","Non-Billed, Hours-Based Consulting Offering: builds upon the Essentials service by focusing on more advanced Domo Everywhere use cases where the embedded experience includes editing and extending content. This includes user interactivity, advanced embedding configuration, dynamic personalization, and integration of filters or writeback features. Customers receive tailored instruction on how to implement flexible, scalable, and secure embedded experiences that support end-user engagement and deeper external collaboration.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Account Executive",Adoption Consulting,Launched to Field,,,
PLAY-054,"Domo Everywhere Essentials
Teaching assistance with your DE view custom use case and project.","Non-Billed, Hours-Based Consulting Offering: provides foundational enablement for customers launching their first Domo Everywhere experience using a ""view-only"" configuration. This service focuses on teaching customers how to embed pre-configured dashboards securely and effectively into external portals or applications, enabling external stakeholders (e.g., partners, customers) to view trusted insights. Customers are guided through setup, security permissions, best practices for embedded layout, and testing to ensure a seamless, user-friendly experience.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Account Executive",Adoption Consulting,Launched to Field,,,
PLAY-055,Domo instance Optimization,"Non-Billed, Hours-Based Consulting Offering: provides a health check and performance audit of your Domo environment. It includes evaluation of dataflows, dataset duplication, memory usage, dashboard performance, connector health, and governance controls. The result is a set of prioritized recommendations to streamline performance, improve manageability, and extend platform longevity.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP",Admin,"Customer Success Manager, Professional Services",Adoption Consulting,Launched to Field,,,
PLAY-056,Domo Pipeline Optimization,"Non-Billed, Hours-Based Consulting Offering: ocuses on streamlining your data ingestion and transformation processes. It includes auditing ETL logic, identifying inefficiencies in recursive or chained dataflows, removing redundant datasets, and implementing best practices for scheduling and resource usage. The result is faster, more reliable data pipelines that scale with business growth.",Reactive Plays,Use Case Plays,"Adopt, Expand",Free,"Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Professional Services",Adoption Consulting,Launched to Field,,,
